experiment_id,algorithm,dataset,distribution,num_clients,dirichlet_alpha,differential_privacy,client_dropout_prob,final_accuracy,final_auc,training_rounds
exp_058,fedavg,heart,dirichlet,5,1.0,false,0.0,0.7707317073170732,0.8871202481007643,10
exp_059,fedavg,heart,dirichlet,10,10.0,false,0.0,0.8039024390243903,0.8873374124675206,10
exp_060,fedavg,heart,dirichlet,10,1.0,false,0.0,0.5404878048780488,0.7119905209658861,10
exp_061,fedavg,heart,dirichlet,3,10.0,false,0.3,0.8663414634146341,0.932869541364097,10
exp_062,fedavg,heart,dirichlet,3,1.0,false,0.3,0.8195121951219512,0.9295739768510405,10
exp_063,fedavg,heart,dirichlet,5,10.0,false,0.3,0.8195121951219512,0.9203311566097975,10
exp_064,fedavg,heart,dirichlet,5,1.0,false,0.3,0.8195121951219512,0.9178318614415142,10
exp_065,fedavg,heart,dirichlet,10,10.0,false,0.3,0.8107317073170732,0.9131571127044965,10
exp_066,fedavg,heart,dirichlet,10,1.0,false,0.3,0.7687804878048781,0.9102539680120697,10
exp_067,fedavg,heart,dirichlet,3,10.0,false,0.5,0.855609756097561,0.9327209552184216,10
exp_068,fedavg,heart,dirichlet,3,1.0,false,0.5,0.8360975609756097,0.9355136127768846,10
exp_069,fedavg,heart,dirichlet,5,10.0,false,0.5,0.8370731707317073,0.9249335172245632,10
exp_070,fedavg,heart,dirichlet,5,1.0,false,0.5,0.4712195121951219,0.5349139343325434,10
exp_071,fedavg,heart,dirichlet,10,10.0,false,0.5,0.8185365853658536,0.9039219122655958,10
exp_072,fedavg,heart,dirichlet,10,1.0,false,0.5,0.7921951219512195,0.8596661002613591,10
exp_073,fedavg,cancer,iid,3,,true,0.0,0.9384885764499121,0.9845806247027112,10
exp_074,fedavg,cancer,iid,5,,true,0.0,0.9191564147627417,0.9832461286401353,10
exp_075,fedavg,cancer,iid,10,,true,0.0,0.8699472759226714,0.9688969927593679,10
exp_076,fedavg,cancer,iid,3,,true,0.3,0.9507908611599297,0.9878045557845779,10
exp_077,fedavg,cancer,iid,5,,true,0.3,0.929701230228471,0.9837482162676392,10
exp_078,fedavg,cancer,iid,10,,true,0.3,0.9121265377855887,0.9903414195867026,10
exp_079,fedavg,cancer,iid,3,,true,0.5,0.9156414762741653,0.9696236985360182,10
exp_080,fedavg,cancer,iid,5,,true,0.5,0.9068541300527241,0.971063897257016,10
